index,Zip Code Tabulation Area,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Population 25 and Over,Rate 25 and Over w/ less than 1st grade,Rate 25 and Over w/ Some or Completed Elementary School,Rate 25 and Over w/ Some or Completed Middle School,Rate 25 and Over w/ Some or Completed High School or Equivalent,"Rate 25 and Over w/ Some college, less than 1 year","Rate 25 and Over w/ Some college, 1 or more years",Rate 25 and Over w/ Associate's degree,Rate 25 and Over w/ Bachelor's degree,Rate 25 and Over w/ Master's degree,Rate 25 and Over w/ Professional school degree,Rate 25 and Over w/ Doctorate degree
28307,81646,222,34.8,98625,22807,0.292792793,121,0,0,0,0.314049587,0.033057851,0.082644628,0.123966942,0.363636364,0.082644628,0,0
28308,81647,7333,35.5,88017,32503,0.066957589,4724,0.006138865,0.014394581,0.008467401,0.363039797,0.107324301,0.08446232,0.116215072,0.210414903,0.072184589,0.004868755,0.012489416
28309,81648,2647,32.6,72083,27970,0.055534567,1674,0.001792115,0,0,0.320191159,0.100955795,0.227001195,0.112305854,0.160692951,0.047789725,0.008363202,0.020908005
28310,81649,370,47.5,63750,30874,0.018918919,302,0,0,0.023178808,0.543046358,0.016556291,0.105960265,0.07615894,0.218543046,0.006622517,0.009933775,0
28311,81650,13356,33.6,63857,25793,0.089323151,8520,0.016784038,0.018309859,0.051643192,0.447535211,0.045070423,0.149413146,0.111384977,0.108920188,0.041079812,0.00657277,0.003286385
28312,81652,4946,36.4,63750,29264,0.098463405,3204,0.009675406,0.002808989,0.021223471,0.389513109,0.085205993,0.187578027,0.121410737,0.11360799,0.060549313,0.006242197,0.002184769
28314,81654,1643,34.5,60833,24400,0.045039562,1080,0.032407407,0,0.163888889,0.312037037,0.126851852,0.090740741,0.017592593,0.141666667,0.061111111,0.021296296,0.032407407
28317,81657,5850,38.6,76466,56151,0.087521368,4624,0.000865052,0.001730104,0,0.062067474,0.046712803,0.131055363,0.088451557,0.486807958,0.116565744,0.059472318,0.006271626
28318,82001,36154,34.5,59232,30852,0.112380373,24386,0.003567621,0.004346756,0.004920856,0.318912491,0.091527926,0.172106947,0.122160256,0.179406217,0.072746658,0.018740261,0.011564012
28320,82007,21434,31,49447,25489,0.149435476,13375,0.008373832,0.016523364,0.013009346,0.44882243,0.084261682,0.160897196,0.129719626,0.10071028,0.029831776,0.005009346,0.002841121
28321,82009,34247,43.5,82840,40331,0.047653809,24293,0.002058206,0.00139958,0.004980859,0.218787305,0.077347384,0.169266867,0.141686906,0.240480797,0.109825876,0.021858148,0.012308072
28322,82050,223,51,45952,19670,0.197309417,163,0,0.134969325,0,0.27607362,0.042944785,0.312883436,0.17791411,0.042944785,0,0.012269939,0
28323,82051,40,29.7,26000,16743,0.35,40,0,0,0,0.175,0,0.35,0,0.475,0,0,0
28325,82053,1006,41.3,64500,29504,0.079522863,720,0.006944444,0,0,0.388888889,0.083333333,0.1625,0.131944444,0.079166667,0.122222222,0.025,0
28326,82054,1495,29.8,79953,25900,0.090301003,885,0.015819209,0,0.025988701,0.394350282,0.129943503,0.235028249,0.050847458,0.133333333,0,0.014689266,0
28327,82055,257,59.7,58906,41789,0.062256809,246,0,0,0,0.069105691,0.052845528,0.162601626,0.056910569,0.5,0.097560976,0.032520325,0.028455285
28329,82059,198,60.6,47898,25928,0.308080808,186,0,0,0,0.220430108,0.112903226,0.252688172,0.172043011,0.241935484,0,0,0
28330,82060,613,47.5,104936,39023,0,383,0,0,0,0.146214099,0,0.38381201,0.201044386,0.268929504,0,0,0
28333,82070,20336,29.5,50800,28142,0.178009441,11892,0.002018163,0.00588631,0.001934073,0.1979482,0.05835856,0.165825765,0.076437941,0.267995291,0.142532795,0.026404305,0.054658594
28334,82072,16945,25.2,41475,24714,0.259368545,8564,0.010742644,0.009458197,0.002568893,0.165693601,0.061069594,0.143974778,0.096683793,0.280359645,0.146310135,0.023120037,0.060018683
28337,82082,1696,49.8,51818,32555,0.193985849,1291,0.005422153,0.003098373,0.008520527,0.395817196,0.06738962,0.260263362,0.065840434,0.164988381,0.012393493,0.0116189,0.00464756
28338,82083,229,61.5,25000,20821,0.074235808,169,0,0,0.071005917,0.449704142,0.041420118,0.159763314,0.035502959,0.171597633,0.071005917,0,0
28340,82190,1075,26.3,62835,24782,0.292093023,651,0,0,0,0.204301075,0.059907834,0.281105991,0.035330261,0.288786482,0.112135177,0.01843318,0
28341,82201,6471,45.9,48261,33054,0.08963066,4741,0.003374815,0.003374815,0.012233706,0.406454335,0.10715039,0.135625395,0.097025944,0.148280953,0.085425016,0.00105463,0
28342,82210,408,62.5,42981,31623,0.100490196,354,0.014124294,0,0,0.271186441,0.053672316,0.129943503,0.177966102,0.279661017,0.050847458,0,0.02259887
28343,82212,547,53.3,48309,33061,0.084095064,404,0,0,0,0.264851485,0.054455446,0.264851485,0.126237624,0.205445545,0.074257426,0.004950495,0.004950495
28344,82213,498,59.1,39500,27132,0.204819277,411,0,0.0243309,0,0.481751825,0.01946472,0.209245742,0.04136253,0.167883212,0.055961071,0,0
28345,82214,1338,32.4,47132,25418,0.229446936,822,0,0.001216545,0.03163017,0.45863747,0.04136253,0.228710462,0.126520681,0.0486618,0.063260341,0,0
28346,82215,101,57.1,46250,39834,0.069306931,90,0.022222222,0,0,0.533333333,0,0.177777778,0.055555556,0.144444444,0.055555556,0.011111111,0
28349,82221,459,28.6,28056,18129,0.252723312,242,0,0,0,0.243801653,0.099173554,0.252066116,0.20661157,0.17768595,0.020661157,0,0
28351,82223,1261,42.9,54722,26165,0.065820777,906,0,0,0,0.341059603,0.102649007,0.137969095,0.134657837,0.17218543,0.073951435,0.004415011,0.033112583
28353,82225,2008,38.5,40167,21116,0.126494024,1395,0,0.015053763,0.022939068,0.410752688,0.065949821,0.259498208,0.095340502,0.101075269,0.022939068,0.004301075,0.002150538
28356,82240,10489,43,49627,28054,0.111736104,7296,0.001096491,0.016858553,0.003974781,0.34964364,0.095531798,0.165570175,0.124314693,0.150904605,0.057839912,0.012198465,0.022066886
28357,82242,35,39.7,100000,51774,0.114285714,31,0,0,0,0.193548387,0.096774194,0.258064516,0.161290323,0.290322581,0,0,0
28359,82244,452,48.4,75357,31708,0.132743363,385,0,0,0,0.485714286,0.028571429,0.205194805,0.109090909,0.090909091,0.028571429,0,0.051948052
28360,82301,9176,33.8,64792,29123,0.120095902,5982,0.007021063,0.013206286,0.02741558,0.444165831,0.072885323,0.162988967,0.098294885,0.122032765,0.036776998,0.008358409,0.006853895
28361,82321,585,43.2,78359,29726,0.124786325,403,0,0.042183623,0.017369727,0.439205955,0.034739454,0.181141439,0.076923077,0.168734491,0.039702233,0,0
28362,82322,197,40.8,67083,21529,0.020304569,152,0,0.052631579,0,0.467105263,0.013157895,0.335526316,0.019736842,0.111842105,0,0,0
28363,82323,143,33.9,24792,20821,0.384615385,94,0,0,0,0.223404255,0.138297872,0.287234043,0.095744681,0.191489362,0.063829787,0,0
